trade_date,symbol,turnover_rule,total_quantity,available_quantity,today_buy_quantity,raw_close,market_value,portfolio_weight
2024-04-11,SH.510300,T1,0,0,0,3.49400000,0,0E+3
2024-04-11,SH.518880,T0,83900,83900,0,5.34800000,448697.200,0.4494860390087395577490584426
2024-04-11,SH.588000,T1,580500,580500,0,0.77400000,449307.000,0.4500969110770019168239877620
2024-04-12,SH.510300,T1,0,0,0,3.46600000,0,0E+3
2024-04-12,SH.518880,T0,82700,82700,0,5.50400000,455180.800,0.4503479272465874267567540346
2024-04-12,SH.588000,T1,588400,580500,7900,0.77300000,454833.200,0.4500040178824162802814619140
2024-04-15,SH.510300,T1,0,0,0,3.53900000,0,0E+3
2024-04-15,SH.518880,T0,83900,83900,0,5.41700000,454486.300,0.4497305256161563194456318876
2024-04-15,SH.588000,T1,579400,579400,0,0.78500000,454829.000,0.4500696395809307400842166327
2024-04-16,SH.510300,T1,0,0,0,3.50700000,0,0E+3
2024-04-16,SH.518880,T0,82900,82900,0,5.45200000,451970.800,0.4503316737671887111852536899
2024-04-16,SH.588000,T1,588000,579400,8600,0.76800000,451584.000,0.4499462765437106710253883709
2024-04-17,SH.510300,T1,128400,0,128400,3.55300000,456205.200,0.4500874577938429785352926221
2024-04-17,SH.518880,T0,0,0,0,5.46100000,0,0E+3
2024-04-17,SH.588000,T1,581600,581600,0,0.78500000,456556.000,0.4504335535424098079288860767
2024-04-18,SH.510300,T1,0,0,0,3.55900000,0,0E+3
2024-04-18,SH.518880,T0,83600,83600,0,5.44500000,455202.000,0.4501385761636894605348121776
2024-04-18,SH.588000,T1,583100,581600,1500,0.78100000,455401.100,0.4503354614816673924674321597
2024-04-19,SH.510300,T1,0,0,0,3.53100000,0,0E+3
2024-04-19,SH.518880,T0,82600,82600,0,5.47100000,451904.600,0.4500718672999583797812350105
2024-04-19,SH.588000,T1,590600,583100,7500,0.76500000,451809.000,0.4499766550128653162870659180
2024-04-22,SH.510300,T1,0,0,0,3.52400000,0,0E+3
2024-04-22,SH.518880,T0,83500,83500,0,5.36400000,447894.000,0.4497802483751937822919292690
2024-04-22,SH.588000,T1,585100,585100,0,0.76600000,448186.600,0.4500740806227223977694722111
2024-04-23,SH.510300,T1,0,0,0,3.49900000,0,0E+3
2024-04-23,SH.518880,T0,84500,84500,0,5.23200000,442104.000,0.4497448094641410899102552983
2024-04-23,SH.588000,T1,579900,579900,0,0.76300000,442463.700,0.4501107260990601396135846481
2024-04-24,SH.510300,T1,0,0,0,3.51300000,0,0E+3
2024-04-24,SH.518880,T0,84500,84500,0,5.28700000,446751.500,0.4496966583012095227194992947
2024-04-24,SH.588000,T1,578400,578400,0,0.77300000,447103.200,0.4500506768433398466000916327
2024-04-25,SH.510300,T1,0,0,0,3.52300000,0,0E+3
2024-04-25,SH.518880,T0,84400,84400,0,5.28800000,446307.200,0.4505282036962403161809427304
2024-04-25,SH.588000,T1,580400,578400,2000,0.76800000,445747.200,0.4499629074292970659329939455
2024-04-26,SH.510300,T1,0,0,0,3.57300000,0,0E+3
2024-04-26,SH.518880,T0,84800,84800,0,5.32900000,451899.200,0.4496052291455112928820812667
2024-04-26,SH.588000,T1,574800,574800,0,0.78700000,452367.600,0.4500712514118303248467007368
2024-04-29,SH.510300,T1,0,0,0,3.61600000,0,0E+3
2024-04-29,SH.518880,T0,86400,86400,0,5.29400000,457401.600,0.4499867237164542281101966882
2024-04-29,SH.588000,T1,563400,563400,0,0.81200000,457480.800,0.4500646398158258594618717317
2024-04-30,SH.510300,T1,0,0,0,3.59800000,0,0E+3
2024-04-30,SH.518880,T0,86100,86100,0,5.28600000,455124.600,0.4500542487784340210383540311
2024-04-30,SH.588000,T1,566000,563400,2600,0.80400000,455064.000,0.4499943238974762061857292240
2024-05-06,SH.510300,T1,0,0,0,3.64800000,0,0E+3
2024-05-06,SH.518880,T0,86800,86800,0,5.25400000,456047.200,0.4499335528268136203036261812
2024-05-06,SH.588000,T1,561100,561100,0,0.81300000,456174.300,0.4500589489581006625464918119
2024-05-07,SH.510300,T1,0,0,0,3.65000000,0,0E+3
2024-05-07,SH.518880,T0,86400,86400,0,5.26800000,455155.200,0.4502648781117420290516325386
2024-05-07,SH.588000,T1,564300,561100,3200,0.80600000,454825.800,0.4499390172826226257703570357
2024-05-08,SH.510300,T1,0,0,0,3.62100000,0,0E+3
2024-05-08,SH.518880,T0,86000,86000,0,5.26100000,452446.000,0.4501219801556004012797569012
2024-05-08,SH.588000,T1,567500,564300,3200,0.79700000,452297.500,0.4499742429360137397564147921
2024-05-09,SH.510300,T1,0,0,0,3.65600000,0,0E+3
2024-05-09,SH.518880,T0,86900,86900,0,5.25000000,456225.000,0.4497432601081708914847129745
2024-05-09,SH.588000,T1,560200,560200,0,0.81500000,456563.000,0.4500764580300659252100060491
2024-05-10,SH.510300,T1,0,0,0,3.65800000,0,0E+3
2024-05-10,SH.518880,T0,85400,85400,0,5.36900000,458512.600,0.4501547615558004524336503639
2024-05-10,SH.588000,T1,570100,560200,9900,0.80400000,458360.400,0.4500053358808925157076794711
2024-05-13,SH.510300,T1,0,0,0,3.65500000,0,0E+3
2024-05-13,SH.518880,T0,85400,85400,0,5.33700000,455779.800,0.4501940670841943055000757210
2024-05-13,SH.588000,T1,570900,570100,800,0.79800000,455578.200,0.4499949377591909298085930900
2024-05-14,SH.510300,T1,0,0,0,3.64900000,0,0E+3
2024-05-14,SH.518880,T0,85400,85400,0,5.32900000,455096.600,0.4503334282827213672089658079
2024-05-14,SH.588000,T1,571300,570900,400,0.79600000,454754.800,0.4499952056596847763767951776
2024-05-15,SH.510300,T1,0,0,0,3.62300000,0,0E+3
2024-05-15,SH.518880,T0,84500,84500,0,5.37000000,453765.000,0.4505197758543062104714791097
2024-05-15,SH.588000,T1,578100,571300,6800,0.78400000,453230.400,0.4499889991919992628221054191
2024-05-16,SH.510300,T1,0,0,0,3.63500000,0,0E+3
2024-05-16,SH.518880,T0,83900,83900,0,5.41700000,454486.300,0.4502426776671213026367226903
2024-05-16,SH.588000,T1,581600,578100,3500,0.78100000,454229.600,0.4499883745223243086714769905
2024-05-17,SH.510300,T1,0,0,0,3.67600000,0,0E+3
2024-05-17,SH.518880,T0,84200,84200,0,5.41600000,456027.200,0.4494822046657256864573399328
2024-05-17,SH.588000,T1,578000,578000,0,0.79000000,456620.000,0.4500664966792850578872281305
2024-05-20,SH.510300,T1,0,0,0,3.68400000,0,0E+3
2024-05-20,SH.518880,T0,83200,83200,0,5.55000000,461760.000,0.4503893405460548806726770800
2024-05-20,SH.588000,T1,584700,578000,6700,0.78900000,461328.300,0.4499682709897621487513621227
2024-05-21,SH.510300,T1,0,0,0,3.67200000,0,0E+3
2024-05-21,SH.518880,T0,83400,83400,0,5.48100000,457115.400,0.4499229368801856577571366489
2024-05-21,SH.588000,T1,584000,584000,0,0.78300000,457272.000,0.4500770728640432068005614987
2024-05-22,SH.510300,T1,0,0,0,3.68000000,0,0E+3
2024-05-22,SH.518880,T0,83600,83600,0,5.49200000,459131.200,0.4499544734542935812660250659
2024-05-22,SH.588000,T1,582000,582000,0,0.78900000,459198.000,0.4500199383123270732422370299
2024-05-23,SH.510300,T1,0,0,0,3.64300000,0,0E+3
2024-05-23,SH.518880,T0,84100,84100,0,5.36600000,451280.600,0.4499915591296244282885932071
2024-05-23,SH.588000,T1,580900,580900,0,0.77700000,451359.300,0.4500700343304274352038169333
2024-05-24,SH.510300,T1,0,0,0,3.60200000,0,0E+3
2024-05-24,SH.518880,T0,83800,83800,0,5.31900000,445732.200,0.4504154445811468225952312247
2024-05-24,SH.588000,T1,585100,580900,4200,0.76100000,445261.100,0.4499393948007132387793780882
2024-05-27,SH.510300,T1,0,0,0,3.63200000,0,0E+3
2024-05-27,SH.518880,T0,84100,84100,0,5.33800000,448925.800,0.4499984662940883476292155851
2024-05-27,SH.588000,T1,581600,581600,0,0.77200000,448995.200,0.4500680321189101995506811537
2024-05-28,SH.510300,T1,0,0,0,3.60900000,0,0E+3
2024-05-28,SH.518880,T0,84000,84000,0,5.33400000,448056.000,0.4500705658104001560529101477
2024-05-28,SH.588000,T1,582500,581600,900,0.76900000,447942.500,0.4499565554875398876540671341
2024-05-29,SH.510300,T1,0,0,0,3.61000000,0,0E+3
2024-05-29,SH.518880,T0,83700,83700,0,5.37000000,449469.000,0.4501283529628318386684317442
2024-05-29,SH.588000,T1,584300,582500,1800,0.76900000,449326.700,0.4499858442144496121508242610
2024-05-30,SH.510300,T1,0,0,0,3.59600000,0,0E+3
2024-05-30,SH.518880,T0,84500,84500,0,5.31700000,449286.500,0.4498464287982358809816525537
2024-05-30,SH.588000,T1,578500,578500,0,0.77700000,449494.500,0.4500546880207810343820867616
2024-05-31,SH.510300,T1,0,0,0,3.58200000,0,0E+3
2024-05-31,SH.518880,T0,84400,84400,0,5.34300000,450949.200,0.4502648923694906641530175496
2024-05-31,SH.588000,T1,579200,578500,700,0.77800000,450617.600,0.4499337955667693751381281993
2024-06-03,SH.510300,T1,0,0,0,3.58700000,0,0E+3
2024-06-03,SH.518880,T0,85100,85100,0,5.29600000,450689.600,0.4499740112795762140221788832
2024-06-03,SH.588000,T1,574200,574200,0,0.78500000,450747.000,0.4500313201419228216978050194
2024-06-04,SH.510300,T1,0,0,0,3.61200000,0,0E+3
2024-06-04,SH.518880,T0,84900,84900,0,5.34600000,453875.400,0.4502147984689712715440139186
2024-06-04,SH.588000,T1,574900,574200,700,0.78900000,453596.100,0.4499377510828111410849887256
2024-06-05,SH.510300,T1,0,0,0,3.59900000,0,0E+3
2024-06-05,SH.518880,T0,85000,85000,0,5.32400000,452540.000,0.4499853033869197776027335544
2024-06-05,SH.588000,T1,574400,574400,0,0.78800000,452627.200,0.4500720111220489140428426240
2024-06-06,SH.510300,T1,0,0,0,3.59900000,0,0E+3
2024-06-06,SH.518880,T0,84000,84000,0,5.39800000,453432.000,0.4503795127684352934081849134
2024-06-06,SH.588000,T1,581500,574400,7100,0.77900000,452988.500,0.4499389983938150613720107351
2024-06-07,SH.510300,T1,0,0,0,3.57600000,0,0E+3
2024-06-07,SH.518880,T0,83800,83800,0,5.39900000,452436.200,0.4503989155397272227901527527
2024-06-07,SH.588000,T1,583200,581500,1700,0.77500000,451980.000,0.4499447697722815065564896027
2024-06-11,SH.510300,T1,0,0,0,3.55100000,0,0E+3
2024-06-11,SH.518880,T0,86100,86100,0,5.23700000,450905.700,0.4500073103556863217398281462
2024-06-11,SH.588000,T1,568000,568000,0,0.79400000,450992.000,0.4500934384105849307606636495
2024-06-12,SH.510300,T1,0,0,0,3.54700000,0,0E+3
2024-06-12,SH.518880,T0,85800,85800,0,5.26700000,451908.600,0.4501087102406853600298515898
2024-06-12,SH.588000,T1,569700,568000,1700,0.79300000,451772.100,0.4499727539013993770863004497
2024-06-13,SH.510300,T1,0,0,0,3.53400000,0,0E+3
2024-06-13,SH.518880,T0,85900,85900,0,5.26900000,452607.100,0.4499666108836453122984685621
2024-06-13,SH.588000,T1,568700,568700,0,0.79600000,452685.200,0.4500442552518180888609451790
2024-06-14,SH.510300,T1,0,0,0,3.55400000,0,0E+3
2024-06-14,SH.518880,T0,85700,85700,0,5.27100000,451724.700,0.4502910233639128947374871568
2024-06-14,SH.588000,T1,570700,568700,2000,0.79100000,451423.700,0.4499909786729041060187919346
2024-06-17,SH.510300,T1,0,0,0,3.54400000,0,0E+3
2024-06-17,SH.518880,T0,85700,85700,0,5.27900000,452410.300,0.4499016980706465606197524889
